 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr C_elec_full C_elec_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
32 75000.0 150000.0 100000.0 123833535.21048851 124383958.63565154 286842.03188072174 292296.2949276766 0.0 0.0 36316473.81963837 35913271.489986084 4.153938000000153 1020824.5681296269 1033021.513900329 0.53349100000014 159161013.72362465 159309644.16622862 702153.2746295703 695289.6644849647 1253499.5398329531 1153933.613131867
33 100000.0 50000.0 100000.0 120310043.6494011 122941739.81214057 222711.2421203241 224757.1432559855 8644282.333160413 10598412.422457203 39777682.75969119 37285949.5641929 3.6830199999999422 1020691.3859745365 1040364.5341275271 0.5246529999999439 159161013.72362465 159309644.16622862 704001.4433584728 693288.0668412475 1254943.293963623 1238531.629137013
34 100000.0 100000.0 100000.0 118010083.98101734 120611559.56748791 258073.5396624565 261150.4852641535 6312265.498032008 8222291.07217073 42109699.59481973 39662070.91447879 3.6901969999998983 990810.6316074749 1011725.5496366427 0.48016899999993257 159161013.72362465 159309644.16622862 700696.3125609527 702835.8304569684 1248716.30534848 1190591.4689238013
35 100000.0 150000.0 100000.0 115705820.03755865 118303568.45643368 283508.4233266355 292212.265892739 3987133.014853788 5889537.295186249 44434832.07799833 41994824.69146082 3.8423919999997906 962356.2815674522 983687.0168959767 0.49672899999995934 159161013.72362465 159309644.16622862 696129.9686143135 696536.7157785653 1229788.8279033343 1166380.5387218578
36 25000.0 50000.0 125000.0 148030980.73628178 148302888.712454 236036.9660072266 244486.58475309194 0.0 0.0 12105491.273212487 11971090.496662375 4.167163999999957 1224246.5259724325 1212220.8984687221 0.547945000000027 159161013.72362465 159309644.16622862 739421.3198782251 719848.4581222273 1381254.635223933 1308133.6902409303
37 25000.0 100000.0 125000.0 148067702.68902388 148345882.75941014 270565.96831960697 280100.75127465365 0.0 0.0 12105491.273212487 11971090.496662375 3.709374999999909 1210303.8174324513 1196461.7001773047 0.4643639999999323 159161013.72362465 159309644.16622862 741614.2703079224 727228.3385530235 1368814.0525450509 1301762.969921832
38 25000.0 150000.0 125000.0 148098100.9801284 148375148.21246052 301157.92581583385 309566.77296411153 0.0 0.0 12105491.273212487 11971090.496662375 3.885097999999971 1197521.422631551 1182609.3554494388 0.4778129999999692 159161013.72362465 159309644.16622862 741420.6039152341 727027.7699257887 1365311.7904463257 1301105.1837732915
39 50000.0 50000.0 125000.0 135907117.55998844 136315030.21658966 237107.9591683892 245688.91729415936 0.0 0.0 24210982.54642587 23942180.993318617 3.7272759999996197 1130924.4436647908 1132904.259129377 0.544287999999824 159161013.72362465 159309644.16622862 719978.423630978 701878.1263908469 1321635.906445606 1267730.3442050621
40 50000.0 100000.0 125000.0 135942590.3781001 136356122.74626553 271804.6066153996 282967.85541218804 0.0 0.0 24210982.54642587 23942180.993318617 3.546865999999909 1115348.0714386306 1113161.5534691364 0.46747899999991205 159161013.72362465 159309644.16622862 720754.5942972163 705691.7179542896 1306468.926031913 1258432.4929860192
41 50000.0 150000.0 125000.0 135970892.13699362 136381186.10871616 301877.44768186717 311783.626299123 0.0 0.0 24210982.54642587 23942180.993318617 3.823135000000093 1101228.5785880582 1095535.0885936604 0.548242000000073 159161013.72362465 159309644.16622862 718983.5121234688 701939.3094906311 1296455.4419826255 1249834.1259490673
42 75000.0 50000.0 125000.0 124421230.16246106 127566027.46372293 239102.2459464714 240417.67363071328 626944.5490238351 3237818.3918951396 35689529.27061455 32675453.098090198 3.7649650000000747 1053666.0532860162 1075301.4203411895 0.471520000000055 159161013.72362465 159309644.16622862 710643.4635133189 691418.7219465692 1283880.0802333043 1214078.2081841489
43 75000.0 100000.0 125000.0 123822552.19202384 125140095.73243241 272428.5492106019 276577.27732054476 0.0 769444.73923902 36316473.81963837 35143826.75074699 3.5260759999998754 1029917.4675243541 1046787.2178893886 0.44382599999994454 159161013.72362465 159309644.16622862 705583.7388372712 697701.039623321 1261957.7522080678 1170631.1634632815
44 75000.0 150000.0 125000.0 123847510.4283386 124400704.71740134 302424.45417508186 310074.9943041284 0.0 0.0 36316473.81963837 35913271.489986084 3.974665999999843 1011990.8930388115 1020392.1586215202 0.47251699999992525 159161013.72362465 159309644.16622862 700546.0701859663 694257.0468554406 1243822.421850243 1181031.4078213458
45 100000.0 50000.0 125000.0 119154293.64366736 121763683.76959857 238054.6929725348 240769.13496863484 7475799.115835806 9405017.70772748 40946165.97701647 38479344.27892102 3.97242499999993 1005113.3787937264 1025967.3602473171 0.5533250000000862 159161013.72362465 159309644.16622862 701391.2040974337 692614.7473205643 1262069.015477682 1234869.5680388985
46 100000.0 100000.0 125000.0 116855763.355172 119461773.44436009 273604.4223619725 277443.3947189661 5144081.712431307 7057928.23375589 43277883.38042054 40826433.75289073 3.5067649999998594 976294.6775292372 997457.9957840586 0.4690619999998944 159161013.72362465 159309644.16622862 699028.5896176649 701119.6362949926 1239012.5913804292 1177712.1598422823
47 100000.0 150000.0 125000.0 114551007.7932867 117145815.85757297 303600.40794091753 308184.13341845735 2814187.822262616 4719694.9400729 45607777.27058913 43164667.04657567 3.9747090000000753 948074.5168542992 969707.0463815469 0.478561000000127 159161013.72362465 159309644.16622862 694170.9323192628 692654.6044937904 1219330.94320401 1160288.3100111808
