 A VWat VSTC E_backup_full E_loss_stor_full E_curt_full E_sol_full E_net_loss_full t_full C_elec_full E_demand_full E_net_pump_full
14 25000.0 75000.0 150000.0 148065265.99505636 268017.0317657944 0.0 12105491.273212489 741726.5128952754 56.57421899999997 1210864.708559841 159161013.72362465 1371806.3287077523
15 50000.0 75000.0 50000.0 135876167.81467357 204559.9489043215 0.0 24210982.54642587 721576.6885827235 56.52550000000008 1151892.4519281168 159161013.72362465 1300077.2532195998
16 50000.0 75000.0 100000.0 135911942.94006398 239671.4512380481 0.0 24210982.54642587 722240.3116383422 55.393678999999906 1131412.645914704 159161013.72362465 1313678.176122689
17 50000.0 75000.0 150000.0 135939567.77281356 268845.332161221 0.0 24210982.54642587 720691.2634650245 54.04043899999999 1115889.3681826747 159161013.72362465 1305134.415345185
18 75000.0 75000.0 50000.0 126730047.33887945 206179.4091442629 2964647.9337474024 33351825.885891277 714680.0920120154 53.400306 1086316.5805094254 159161013.72362465 1271330.3336790244
19 75000.0 75000.0 100000.0 124432251.31481193 241590.2379584157 633353.6061017073 35683120.21353635 712767.5667752668 53.06225399999994 1054136.640814163 159161013.72362465 1274373.5990687585
20 75000.0 75000.0 150000.0 123819707.12964374 269326.31664680876 0.0 36316473.819638364 705840.9090188949 53.81187799999998 1030437.1780560579 159161013.72362465 1260479.187623438
21 100000.0 75000.0 50000.0 121463304.59571251 206221.99975260533 9812480.654871462 38609484.43797947 705553.310326627 54.821038000000044 1037606.9160561848 159161013.72362465 1247566.6954455774
22 100000.0 75000.0 100000.0 119165328.28987195 241704.12212745415 7480998.091411291 40940967.001439564 703577.4455713725 51.14729000000011 1005593.8995183198 159161013.72362465 1252889.9051120356
23 100000.0 75000.0 150000.0 116860752.78892162 265891.5071411873 5156417.470155483 43265547.622696795 699395.1808622989 50.92054800000005 976815.6314893615 159161013.72362465 1236132.9081988896
24 25000.0 100000.0 50000.0 148016537.7409372 221513.6949586794 0.0 12105491.273212489 739501.5955817895 50.85793199999989 1232765.1700565505 159161013.72362465 1364068.1374328888
