 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_net_loss_full E_net_loss_repr
16 150000.0 150000.0 100000.0 23101623.614759546 20566430.37753559 49531.28385750583 51782.487338817235 0.0 6.7008659243532e-10 8417460.100526597 9697.511181522563 11.089483451687897 5.082548830621363 614922.7164864183 503104.0283225767
17 150000.0 200000.0 100000.0 23105135.974643584 20570102.174735174 52659.408882626136 54240.548553405395 0.0 8.7777152657444e-10 8417460.100526597 9697.511181522563 10.357609247814594 5.084062223418414 615281.6329673041 504323.2231239083
18 50000.0 100000.0 125000.0 28829235.037581693 27013005.955224615 40956.82279198647 41109.02973637458 0.0 9.4497755885068e-10 2805820.033508866 3232.5037271746 10.435380133273384 5.0859650869398365 739547.8867368678 495387.16600224364
19 50000.0 150000.0 125000.0 28832599.70805713 27017748.34609208 44321.49326742434 44361.434872890386 0.0 7.448891051864599e-10 2805820.033508866 3232.5037271746 11.369146041675435 5.097823887027175 739547.8867368678 496771.7438789712
20 50000.0 200000.0 125000.0 28835601.46135607 27042074.738079835 47323.246566361886 47175.50120470525 0.0 8.4010374593483e-10 2805820.033508866 3232.5037271746 12.705455835733687 5.161143512303852 739547.8867368678 518286.4199530515
21 100000.0 100000.0 125000.0 26025272.3499814 23762720.928572454 42814.16870055343 44123.524017615004 0.0 7.6763091444956e-10 5611640.067017732 6465.007454347621 10.329484574880667 5.077234086857061 739547.8867368678 474420.8694184672
22 100000.0 150000.0 125000.0 26028635.78834095 23762332.568377934 46177.607060104114 47554.6580884329 0.0 1.809186700433092e-09 5611640.067017732 6465.007454347621 11.003896895283674 5.091122291984107 739547.8867368678 470622.0657358235
23 100000.0 200000.0 125000.0 26031636.37571407 23789575.854658928 49178.19443322295 49958.7520828224 0.0 1.2289682947285401e-09 5611640.067017732 6465.007454347619 11.675425746567498 5.094437898564706 739547.8867368678 495437.3192086831
24 150000.0 100000.0 125000.0 23100716.67419656 20585055.666300207 48151.600748848534 50696.34289209068 0.0 4.5887404561013996e-10 8417460.100526597 9697.511181522563 10.669074966914991 5.090698177328022 615384.7420472436 522806.80682518013
25 150000.0 150000.0 125000.0 23102854.23020733 20537844.54534162 51318.71993939559 53312.593135954914 0.0 6.999252946116e-10 8417460.100526597 9697.511181522563 10.360157582480838 5.08009713429044 614370.3886777392 473016.5705300232
26 150000.0 200000.0 125000.0 23108117.2426184 20573179.200554978 54297.44949878784 56379.43743515396 0.0 6.9730434238874e-10 8417460.100526597 9697.511181522563 11.004517203993942 5.091404548857554 616630.4993779471 505246.8361331804
