Time TermienWest TermienEast Boxbergheide Winterslag OudWinterslag ZwartbergSouth ZwartbergNWest ZwartbergNEast WaterscheiGarden Total
"2014-02-03 14:00:00" 3175045.377343749 5169267.09296875 10878127.149999997 17647650.33125 1487866.7585937511 4332657.79375 2792203.212562752 4997412.805859375 20356615.06875 70836845.59107828
"2014-02-03 15:00:00" 3254167.2273437493 5229199.84296875 11375717.149999997 18117594.83125 1529914.708593751 4368494.11875 2865111.0625627516 5126583.280859375 20618251.06875 72485033.29107828
"2014-02-03 16:00:00" 3334016.877343749 5276096.54296875 11535761.749999996 18396573.23125 1556831.283593751 4491801.61875 2950271.1625627517 5159065.930859375 20879735.16875 73580153.56607828
"2014-02-03 17:00:00" 3339977.877343749 5292173.44296875 11595938.049999997 18831548.33125 1594720.208593751 4593637.21875 2975200.4375627516 5182225.230859375 21137704.86875 74543125.66607828
"2014-02-03 18:00:00" 3366884.4773437493 5349287.09296875 11783174.249999996 19248322.13125 1651133.533593751 4626914.26875 3033475.1625627517 5221799.330859375 21476343.46875 75757333.71607828
"2014-02-03 19:00:00" 3498185.8023437494 5330958.64296875 12010008.449999997 19450962.53125 1700521.408593751 4646164.16875 2980195.462562752 5292898.030859375 21838456.66875 76748351.16607828
"2014-02-03 20:00:00" 3787437.7273437493 5437646.29296875 12780945.049999997 19946152.03125 1610039.8085937512 4876199.96875 3032382.487562752 5388217.805859375 22525909.46875 79384930.64107828
"2014-02-03 21:00:00" 4077890.089843749 5786498.94296875 13179622.049999997 21079607.53125 1781985.8992187511 5357417.375 3312305.4375627516 5643016.355859375 23697592.31875 83915936.00045328
"2014-02-03 22:00:00" 4483458.788281249 6276639.21796875 14563955.649999997 22469095.83125 1993115.0742187512 5950809.475 3654462.2625 6080783.880859375 25515310.21875 90987630.39882803
"2014-02-03 23:00:00" 4830293.956249999 6795265.4375 16004024.249999996 24031863.78125 2200594.524218751 6542492.225 3993185.9125 6536889.767578125 27531436.5375 98466046.39179678
"2014-02-04 00:00:00" 5147509.356249999 7373175.2375 17655254.949999996 25292792.55625 2369412.487500001 7001646.725 4269467.9625 6941592.176953125 29360525.5578125 105411377.00976554
"2014-02-04 01:00:00" 5408073.981249999 7682537.675 18852298.249999996 26777128.45625 2496105.6374999997 7410289.65 4501074.8625 7306340.989453125 30552678.275 110986527.77695303
"2014-02-04 02:00:00" 5682957.906249999 7877219.0 19162726.249999996 27640607.56875 2530940.3218749994 7624748.85 4632830.2875 7494937.739453125 31802746.675 114449714.59882803
"2014-02-04 03:00:00" 5732676.946874999 7991197.3 19260815.975 28327133.71875 2532536.8558593746 7709759.9 4632830.2875 7726710.139453125 32617033.775 116530694.89843741
"2014-02-04 04:00:00" 5687578.110156249 8165981.45 19367773.4625 29133915.25 2532536.8558593746 8078732.425 4733388.26875 7946759.35 33282803.975 118929469.14726552
"2014-02-04 05:00:00" 5802844.085156249 8293059.4875 19367773.4625 29956284.2 2532536.8558593746 8078732.425 4745045.2234375 8051179.6875 33938534.7 120765990.12695304
"2014-02-04 06:00:00" 5415906.060156249 8325454.7375 19367773.4625 30338942.4 2532536.8558593746 7580372.675 4768557.3890625 8061279.2125 34089158.8 120479981.59257802
"2014-02-04 07:00:00" 5377800.26796875 8089527.35 19294566.0375 29763830.7 2757850.7058593747 7580372.675 4636871.4265625 7934944.2625 33260043.05 118695806.47539052
"2014-02-04 08:00:00" 5140832.449999999 7651482.075 18153527.575 28714530.3 2702362.8433593744 7343991.375 4348995.2828125 7674069.8875 32151445.05 113881236.83867177
"2014-02-04 09:00:00" 4997686.0375 7382495.175 17337747.725 27950725.4 2558105.305859375 6832127.725 4214791.5328125 7478206.1375 31169872.85 109921757.88867179
"2014-02-04 10:00:00" 4921702.1625 7297630.175 17506624.825 27626977.8 2394085.2488281247 6594242.6875 4302956.1578125 7410504.2375 30866241.65 108920964.94414052
"2014-02-04 11:00:00" 4950517.512499999 7388245.275 18059930.625 27739770.6 2452413.8363281246 6871952.1875 4363827.0328125 7464285.8375 31303852.05 110594794.95664053
"2014-02-04 12:00:00" 5037032.212499999 7537852.925 19065376.025 28128566.2 2532358.0488281245 7062704.6375 4490851.7578125 7641118.2875 32084057.85 113579917.94414052
