;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
2014-01-04 21:00:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 21:15:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 21:30:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 21:45:00;;;;;;;;;;;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15;294.15
2014-01-04 22:00:00;;;;;;;;;;;291.655348473;294.15;294.15;294.15;291.590608926;294.15;294.15;294.15;294.15;294.15
2014-01-04 22:15:00;;;;;;;;;;;291.403011188;291.64616558;294.15;294.15;291.333589074;294.15;294.15;294.15;294.15;294.15
2014-01-04 22:30:00;;;;;;;;;;;291.277920464;291.392432555;294.15;294.15;291.206944172;294.15;294.15;294.15;294.15;294.15
2014-01-04 22:45:00;;;;;;;;;;;291.18067337;291.26690382;294.15;294.15;291.15;294.15;294.15;291.793605997;294.15;294.15
2014-01-04 23:00:00;;;;;;;;;;;291.15;291.169893001;294.15;294.15;291.15;294.15;294.15;291.551103531;294.15;294.15
2014-01-04 23:15:00;;;;;;;;;;;291.15;291.15;294.15;294.15;291.15;294.15;294.15;291.43004447;294.15;294.15
2014-01-04 23:30:00;;;;;;;;;;;291.15;291.15;294.15;294.15;291.15;294.15;291.572814701;291.33551453;294.15;294.15
2014-01-04 23:45:00;;;;;;;;;;;291.15;291.15;294.15;294.15;291.15;294.15;291.316011845;291.256667254;294.15;294.15
2014-01-05 00:00:00;;;;;;;;;;;291.15;291.15;294.15;291.98475305;291.15;294.15;291.190751317;291.188496685;294.15;291.934437217
2014-01-05 00:15:00;;;;;;;;;;;291.15;291.15;294.15;291.755854175;291.15;294.15;291.15;291.15;294.15;291.701922506
2014-01-05 00:30:00;;;;;;;;;;;291.15;291.15;294.15;291.638488911;291.15;294.15;291.15;291.15;294.15;291.583402276
2014-01-05 00:45:00;;;;;;;;;;;291.15;291.15;294.15;291.546042591;291.15;294.15;291.15;291.15;294.15;291.490228979
2014-01-05 01:00:00;;;;;;;;;;;291.15;291.15;291.8569112;291.468366084;291.15;291.947527848;291.15;291.15;291.984394564;291.4120763
2014-01-05 01:15:00;;;;;;;;;;;291.15;291.15;291.617081256;291.399673815;291.15;291.714330387;291.15;291.15;291.753993796;291.343089048
2014-01-05 01:30:00;;;;;;;;;;;291.15;291.15;291.49370399;291.336635398;291.15;291.593173718;291.15;291.15;291.633840085;291.279890617
