;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 06:15:00;294.65;288.65;288.65;289.007171652;288.65;294.65;288.228839337;288.661555296;287.65;293.65;286.392841339;287.65;293.15;287.65;287.696596872;293.65;287.191243487;288.173773819;289.004189476;286.165364618;287.65;288.15;293.65;287.988923464;288.15;293.15;287.65;287.657924721;288.15;287.65;288.15;287.65;294.65;288.15;293.15;288.15;288.15;288.15;293.65;293.15;288.65;294.15;288.15;288.195618342;288.15;293.15;288.173115865;288.15;287.65;287.65
2014-01-01 06:30:00;294.65;288.65;288.65;288.942041592;288.65;294.65;288.25997459;288.65;287.65;293.65;286.311919813;287.65;292.65;287.65;287.738857531;293.65;287.06253757;288.195575836;288.908666618;286.076978491;287.65;288.15;293.65;288.027580031;289.9;293.15;287.65;287.66773802;288.15;287.65;288.15;287.65;294.65;288.15;288.433529716;288.15;293.15;290.65;293.65;288.65;288.650164002;294.15;288.15;288.234495543;288.15;290.65;288.167124403;288.15;287.65;287.65
2014-01-01 06:45:00;294.65;288.65;288.65;288.878194916;288.65;294.65;288.283946614;288.65;287.651634863;293.65;286.233543039;287.65;292.65;287.65;287.776715276;293.65;286.972600424;288.212737578;288.824633315;285.991292033;287.65535918;288.171054711;293.65;288.04660911;291.65;293.15;287.65;287.666020281;288.15;287.65;288.15;287.65;289.51166733;288.15;288.15;288.15;293.15;293.15;293.65;293.15;288.65;294.15;288.15;288.270758941;288.15;288.445192073;288.153309947;288.183813766;287.687570903;287.65
2014-01-01 07:00:00;291.65;288.65;288.65;288.814322877;288.65;294.65;293.15;288.65;287.656163631;293.9;286.149008674;287.65;292.65;287.65;287.802710399;293.9;286.889009555;288.224972686;288.738968084;289.451094366;287.65;288.187718161;293.65;290.4;291.65;293.15;290.4;287.669913474;288.15;287.65;288.15;287.65;288.883838533;288.15;288.15;288.15;293.15;290.65;294.15;288.754606203;288.65;294.15;288.15;290.65;288.15;288.194156368;288.15;288.227634361;287.727596498;287.65
2014-01-01 07:15:00;294.65;288.65;288.65;288.75707888;288.65;294.65;293.15;288.65;287.655462614;294.15;286.067011682;287.65;292.65;287.65;287.822242362;294.15;286.809344146;288.232433386;288.65;293.15;293.15;288.197528685;294.15;293.15;291.65;288.15;293.15;287.669812264;288.15;287.65;288.15;287.65;288.714271631;288.15;288.15;288.15;293.15;288.488058851;294.15;293.15;288.65;294.15;288.15;293.15;288.15;288.15;288.15;288.275841803;287.757708075;287.65
2014-01-01 07:30:00;294.65;288.65;288.65;288.699995745;288.65;294.65;293.15;288.65;287.65;294.15;285.981741531;287.65;292.65;287.65;290.4;294.15;286.723822698;293.15;288.65;293.15;293.15;290.65;294.15;293.15;291.65;288.15;293.15;287.659659614;288.15;287.65;288.15;287.65;288.65;288.15;288.15;288.15;293.15;288.219268323;294.15;293.15;288.65;294.15;288.15;293.15;288.15;288.15;288.15;288.320733661;287.784773207;290.4
2014-01-01 07:45:00;294.65;288.65;288.65;288.642272757;288.65;294.65;293.15;288.65;293.15;294.15;285.892875515;287.65;292.65;287.65;293.15;294.15;286.646746376;293.15;288.65;293.15;293.15;293.15;294.15;293.15;291.65;288.15;293.15;287.65;293.15;287.65;288.15;287.65;288.65;288.15;288.15;288.15;293.15;288.15;293.65;293.15;288.65;294.15;288.15;293.15;288.15;293.15;288.15;288.361428175;287.803494603;293.15
2014-01-01 08:00:00;294.65;288.65;294.65;288.59089707;288.65;294.65;293.15;288.65;293.15;294.15;285.807827002;287.65;292.65;287.65;293.15;294.15;286.568580902;293.15;288.65;293.15;288.540053724;293.15;294.15;293.15;291.65;288.15;290.65;290.4;293.15;287.65;288.15;287.65;288.65;288.15;288.15;288.15;290.65;288.15;293.9;293.15;291.65;294.15;288.15;292.9;288.15;293.15;288.15;288.404957223;290.4;293.15
2014-01-01 08:15:00;294.65;288.65;294.65;293.15;288.65;294.65;293.15;288.65;293.15;294.15;285.722175671;287.65;292.65;287.65;293.15;294.15;286.486266608;293.15;288.65;293.15;288.040846212;293.15;294.15;293.15;291.65;288.15;288.15;293.15;293.15;293.15;288.15;287.65;288.65;288.15;288.15;288.15;288.616567557;288.15;294.15;293.15;288.98374691;294.15;288.15;292.65;288.15;288.86644702;293.15;288.44657071;293.15;293.15
2014-01-01 08:30:00;294.65;294.65;294.65;293.15;294.65;294.65;293.15;288.65;293.15;294.15;291.395165552;287.65;292.65;287.65;293.15;294.15;286.412225493;293.15;288.65;293.15;293.15;293.15;294.15;293.15;291.65;288.15;290.65;293.15;293.15;293.15;288.15;287.65;288.65;288.15;288.15;288.15;288.363664017;288.15;294.15;293.15;288.701680882;293.9;291.65;292.65;288.15;288.428477812;293.15;290.65;293.15;293.15
2014-01-01 08:45:00;294.65;294.65;294.65;293.15;294.65;294.65;293.15;288.65;293.15;294.15;293.15;287.65;292.65;287.65;293.15;294.15;286.33837389;293.15;288.65;293.15;293.15;293.15;294.15;293.15;291.65;288.15;293.15;293.15;293.15;293.15;288.15;287.65;288.65;288.15;288.15;288.15;288.292964033;288.15;294.15;293.15;288.662386004;293.65;291.65;292.65;288.15;288.37821053;288.823225073;293.15;293.15;293.15
2014-01-01 09:00:00;294.65;294.65;294.65;293.15;294.65;294.65;293.15;288.65;293.15;294.15;292.65;287.65;292.65;287.65;293.15;294.15;286.260938253;293.15;291.65;293.15;290.4;293.15;294.15;293.15;291.65;288.15;293.15;293.15;293.15;293.15;288.15;287.65;294.65;288.15;288.15;288.15;288.23525311;288.15;294.15;293.15;288.65;293.65;291.65;292.65;289.9;293.15;288.277632315;293.15;293.15;293.15
2014-01-01 09:15:00;294.65;294.65;294.65;293.15;294.65;294.65;293.15;288.65;293.15;294.15;292.65;287.65;292.65;287.65;293.15;294.15;286.189630554;293.15;294.65;293.15;293.15;293.15;294.15;293.15;291.65;288.15;293.15;293.15;293.15;293.15;293.15;287.65;294.65;288.15;288.15;288.15;288.181050314;288.15;294.15;293.15;294.65;293.65;291.65;292.65;291.65;293.15;293.15;293.15;293.15;293.15
