param;SFH_D_1_2zone_TAB;SFH_D_1_2zone_REF1;SFH_D_1_2zone_REF2;SFH_D_2_2zone_TAB;SFH_D_2_2zone_REF1;SFH_D_2_2zone_REF2;SFH_D_3_2zone_TAB;SFH_D_3_2zone_REF1;SFH_D_3_2zone_REF2;SFH_D_4_2zone_TAB;SFH_D_4_2zone_REF1;SFH_D_4_2zone_REF2;SFH_D_5_2zone_TAB;SFH_D_5_ins_TAB;SFH_SD_1_2zone_TAB;SFH_SD_1_2zone_REF1;SFH_SD_1_2zone_REF2;SFH_SD_2_2zone_TAB;SFH_SD_2_2zone_REF1;SFH_SD_2_2zone_REF2;SFH_SD_3_2zone_TAB;SFH_SD_3_2zone_REF1;SFH_SD_3_2zone_REF2;SFH_SD_4_2zone_TAB;SFH_SD_4_2zone_REF1;SFH_SD_4_2zone_REF2;SFH_SD_5_TAB;SFH_SD_5_Ins_TAB;SFH_T_1_2zone_TAB;SFH_T_1_2zone_REF1;SFH_T_1_2zone_REF2;SFH_T_2_2zone_TAB;SFH_T_2_2zone_REF1;SFH_T_2_2zone_REF2;SFH_T_3_2zone_TAB;SFH_T_3_2zone_REF1;SFH_T_3_2zone_REF2;SFH_T_4_2zone_TAB;SFH_T_4_2zone_REF1;SFH_T_4_2zone_REF2;SFH_T_5_TAB;SFH_T_5_ins_TAB
abs4ED;0.7862507226693506;0.42475613753401703;0.42475613753401703;0.949698187781679;0.5130553428245852;0.5130553428245852;1.0155708007740725;0.6198938654075506;0.6198938654075506;0.7870544251807607;0.6269755590423008;0.6269755590423008;0.5434987365454457;0.5434987365454457;0.6425296762741126;0.34711373315957805;0.34711373315957805;0.6230781527702659;0.3366054388529022;0.3366054388529022;0.6445752455688081;0.3934420330095321;0.3934420330095321;0.47945652110669584;0.38193994054262215;0.38193994054262215;0.45114908881138;0.45114908881138;0.6457359265915731;0.34884584540004526;0.34884584540004526;0.5696397346968323;0.3077364083994381;0.3077364083994381;0.3977982678639319;0.24281192973512727;0.24281192973512727;0.3738236814392599;0.2281780912681197;0.2281780912681197;0.46113633603313786;0.46113633603313786
abs4ND;0.9130653553579556;0.49326519197498747;0.49326519197498747;0.9301167818480363;0.5024768821477896;0.5024768821477896;0.9193588301744234;0.5611670781584143;0.5611670781584143;0.7019674602963542;0.5591944175242144;0.5591944175242144;0.598376278876248;0.598376278876248;0.6601332290487459;0.35662369845162134;0.35662369845162134;0.6316134699315025;0.3412164722618461;0.3412164722618461;0.6284608644295878;0.38360598218429387;0.38360598218429387;0.5628402639078603;0.4483642780282955;0.4483642780282955;0.7372436329356699;0.7372436329356699;0.6866052890340777;0.37092469637473163;0.37092469637473163;0.5096776573603236;0.2753431022521288;0.2753431022521288;0.3599127185435575;0.21968698404606754;0.21968698404606754;0.35657028075744795;0.21764679474805262;0.21764679474805262;0.5522911931559674;0.5522911931559674
abs4SD;1.0314256792006535;0.5572069761198933;0.5572069761198933;1.2434192767863221;0.6717322529765187;0.6717322529765187;1.2721360557064698;0.7764986314052477;0.7764986314052477;0.9217754529144044;0.7342956997792712;0.7342956997792712;0.7445405021996347;0.7445405021996347;0.6689350054360625;0.36137868109764293;0.36137868109764293;0.7169666415438676;0.38732680635128475;0.38732680635128475;0.7332043418345191;0.44754031254834276;0.44754031254834276;0.6253780710087337;0.49818253114255057;0.49818253114255057;0.7647527237168514;0.7647527237168514;0.662083671568575;0.35767738578991976;0.35767738578991976;0.5846302540309595;0.31583473493626546;0.31583473493626546;0.3725412349836823;0.22739529927575414;0.22739529927575414;0.350819147196844;0.21413636257469693;0.21413636257469693;0.5093947898040476;0.5093947898040476
abs4WD;0.7524334872857227;0.4064870563497582;0.4064870563497582;0.949698187781679;0.5130553428245852;0.5130553428245852;1.0904023334626882;0.6655702554902122;0.6655702554902122;0.8083261664018624;0.6439208444218225;0.6439208444218225;0.43796500129390287;0.43796500129390287;0.6513314526614293;0.3518687158055997;0.3518687158055997;0.640148787092739;0.34582750567078996;0.34582750567078996;0.5962321021511474;0.36393388053381726;0.36393388053381726;0.7018131685764678;0.5590715071710846;0.5590715071710846;0.5831927245610522;0.5831927245610522;0.5803449466835656;0.31351968384054696;0.31351968384054696;0.5696397346968323;0.3077364083994381;0.3077364083994381;0.41042678430405677;0.25052024496481384;0.25052024496481384;0.45433955128771597;0.27732414169509934;0.27732414169509934;0.4396881343571779;0.4396881343571779
abs5ED;0.847136854581199;0.4576486455783489;0.4576486455783489;0.8177748404655185;0.44178640806757896;0.44178640806757896;0.638200229994636;0.3895507897369856;0.3895507897369856;0.6781823433113757;0.5402469514514349;0.5402469514514349;0.5669768934102358;0.5669768934102358;0.6425296762741126;0.34711373315957805;0.34711373315957805;0.7339411574298401;0.39649694711726985;0.39649694711726985;0.5995892648884851;0.3659830577890753;0.3659830577890753;0.4140760864103283;0.32985722137771917;0.32985722137771917;0.41109809827404326;0.41109809827404326;0.6457359265915731;0.34884584540004526;0.34884584540004526;0.5696397346968323;0.3077364083994381;0.3077364083994381;0.3977982678639319;0.24281192973512727;0.24281192973512727;0.7594772262152052;0.46357700820928105;0.46357700820928105;0.46113633603313786;0.46113633603313786
abs5ND;0.9837718311265536;0.531462943252276;0.531462943252276;0.8009135035487037;0.4326774099630928;0.4326774099630928;0.5777391555740915;0.3526459780776922;0.3526459780776922;0.6048653332236593;0.48184187561884734;0.48184187561884734;0.6242250457545704;0.6242250457545704;0.6601332290487459;0.35662369845162134;0.35662369845162134;0.7439951458877833;0.40192841214627356;0.40192841214627356;0.584599533266273;0.35683348134434845;0.35683348134434845;0.48608931882951584;0.3872236946608007;0.3872236946608007;0.6717944532770951;0.6717944532770951;0.6866052890340777;0.37092469637473163;0.37092469637473163;0.5096776573603236;0.2753431022521288;0.2753431022521288;0.3599127185435575;0.21968698404606754;0.21968698404606754;0.7244244311591188;0.4421811462919296;0.4421811462919296;0.5522911931559674;0.5522911931559674
abs5SD;1.1112978092355514;0.6003562877479416;0.6003562877479416;1.0706948942177408;0.5784213796348714;0.5784213796348714;0.7994297617827546;0.4879636208284346;0.4879636208284346;0.7942676092835932;0.6327216548530318;0.6327216548530318;0.776703297671692;0.776703297671692;0.6689350054360625;0.36137868109764293;0.36137868109764293;0.8445350304672132;0.4562430624363106;0.4562430624363106;0.6820327888106518;0.4163057282350731;0.4163057282350731;0.5400992431439064;0.4302485496231119;0.4302485496231119;0.696861410488927;0.696861410488927;0.662083671568575;0.35767738578991976;0.35767738578991976;0.5846302540309595;0.31583473493626546;0.31583473493626546;0.3725412349836823;0.22739529927575414;0.22739529927575414;0.7127401661404233;0.43504919231947914;0.43504919231947914;0.5093947898040476;0.5093947898040476
abs5WD;0.8107008608357711;0.43796483286530163;0.43796483286530163;0.8177748404655185;0.44178640806757896;0.44178640806757896;0.6852255100995038;0.41825453213865815;0.41825453213865815;0.6965115958333048;0.5548482204095817;0.5548482204095817;0.4568842927480542;0.4568842927480542;0.6513314526614293;0.3518687158055997;0.3518687158055997;0.7540491343457262;0.4073598771752773;0.4073598771752773;0.5546200700218488;0.3385343284548947;0.3385343284548947;0.606111372861495;0.4828344834659367;0.4828344834659367;0.5314194928908363;0.5314194928908363;0.5803449466835656;0.31351968384054696;0.31351968384054696;0.5696397346968323;0.3077364083994381;0.3077364083994381;0.41042678430405677;0.25052024496481384;0.25052024496481384;0.9230569364769418;0.5634243638235878;0.5634243638235878;0.4396881343571779;0.4396881343571779
CflD;14901928.000000002;14901928.000000002;14901928.000000002;14058632.0;14058632.0;14058632.0;16244543.999999998;16244543.999999998;16244543.999999998;15401248.000000002;15401248.000000002;15401248.000000002;12144677.999999998;12144677.999999998;11373400.0;11373400.0;11373400.0;9853248.000000002;9853248.000000002;9853248.000000002;10652160.0;10652160.0;10652160.0;11473264.0;11473264.0;11473264.0;9019920.0;9019920.0;8399671.999999998;8399671.999999998;8399671.999999998;8266520.0;8266520.0;8266520.0;6879520.0;6879520.0;6879520.0;7012672.0;7012672.0;7012672.0;5522400.0;5522400.0
CiD;1940369.480716846;1940369.480716846;1940369.480716846;1833693.0995759116;1833693.0995759116;1833693.0995759116;2118965.400805369;2118965.400805369;2118965.400805369;2008375.4092879263;2008375.4092879263;2008375.4092879263;2430307.88;2430307.88;1483452.7966244726;1483452.7966244726;1483452.7966244726;1635553.9200000004;1635553.9200000004;1635553.9200000004;1768166.4;1768166.4;1768166.4;1904462.5600000003;1904462.5600000003;1904462.5600000003;1418271.9685066328;1418271.9685066328;1095632.3788579016;1095632.3788579016;1095632.3788579016;1077936.9923541248;1077936.9923541248;1077936.9923541248;897190.734640523;897190.734640523;897190.734640523;914605.12;914605.12;914605.12;868414.4632316157;868414.4632316157
CwD;89016957.288;89016957.288;89016957.288;31568539.401;31568539.401;31568539.401;28456805.601000004;28456805.601000004;28456805.601000004;23146317.810000002;23146317.810000002;23146317.810000002;20253618.966000002;20253618.966000002;32464713.41772151;32464713.41772151;32464713.41772151;12558781.973112725;12558781.973112725;12558781.973112725;13429671.581219645;13429671.581219645;13429671.581219645;8856365.100000001;8856365.100000001;8856365.100000001;6986174.6854942255;6986174.6854942255;15779225.678618854;15779225.678618854;15779225.678618854;6254568.802816901;6254568.802816901;6254568.802816901;5508256.827094475;5508256.827094475;5508256.827094475;3721119.6826722343;3721119.6826722343;3721119.6826722343;2978629.9149574786;2978629.9149574786
CwiD;33058164.636000004;33058164.636000004;16529082.318000002;34425089.370000005;34425089.370000005;34425089.370000005;31031783.370000005;31031783.370000005;31031783.370000005;34102725.300000004;34102725.300000004;34102725.300000004;26176157.364;26176157.364;19979448.805545922;9989724.402772961;6028198.860759493;19833415.370872624;9916707.685436312;9916707.685436312;14644885.483000543;7322442.7415002715;7322442.7415002715;13048563.000000004;6524281.500000002;6524281.500000002;9029063.311938385;9029063.311938385;20528739.793697227;10264369.896848613;10264369.896848613;29110493.02687277;14555246.513436384;29110493.02687277;27062093.87767483;27062093.87767483;13531046.938837415;24414442.424324237;12207221.212162118;12207221.212162118;18645677.120893054;18645677.120893054
