;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vogelsberg_88_4752920;[89.107707941628234, 41.871098660363664, 88.574601332708525, 39.627131268823391];172.16809845;456.76852138099997;187.76603700400003;[22.276926985407059, 10.467774665090916, 22.143650333177131, 4.4246674449418339];[22.276926985407059, 10.467774665090916, 22.143650333177131, 4.4246674449418339];40840246.023;59974980.1276;43053006.0079;8323349.41121;0.00012919594029899998;0.00551030806005;0.000265470097446;0.007875337138089999;0.000114370700247;3.4169585406e-05;0.00734837146572;0.00235576261495;977.950028475;2.7;1.7;2.26742206845;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_12_1586945;[102.24643158643205, 43.260354595047694, 101.2777069853307, 52.328403784273029];156.533588409;559.082577737;186.38912158099998;[24.232167262442076, 10.592883395124046, 25.319426746332674, 4.9542762434164747];[24.232167262442076, 10.592883395124046, 25.319426746332674, 4.9542762434164747];47132567.6599;54528678.3016;52513655.6735;8262313.08983;0.00011194794276999997;0.00477466745412;0.00029198514093299995;0.0086619225528;9.25509803664e-05;3.44220069462e-05;0.007402656211100002;0.0021463912275000003;928.057975382;2.7;1.7;2.23500664993;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_6264_1586963;[86.821343020407184, 31.782663392889734, 97.322255510501293, 35.630037819425354];110.91555786100001;480.301264343;126.37628992399999;[21.705335755101796, 7.9456658482224336, 24.330563877625323, 3.9821419994198606];[21.705335755101796, 7.9456658482224336, 24.330563877625323, 3.9821419994198606];39638860.239;38637578.2649;45059264.7898;5602046.222580002;0.000133111647387;0.00567731603477;0.000412074579561;0.0122244511578;0.000107368028133;5.07681278002e-05;0.0109179861933;0.00241060138876;661.472162699;2.7;1.7;2.22374690308;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_78_1588951;[95.013587114946304, 35.66328230974942, 71.592964500494134, 38.393030172866574];118.690101624;512.432471642;140.140303403;[23.753396778736576, 8.6874028613388408, 17.672731081006123, 6.177879052857163];[23.753396778736576, 8.6874028613388408, 17.672731081006123, 6.177879052857163];37922332.4736;41345850.6559;47793904.6489;6212181.555430002;0.000139136852688;0.005934295760720001;0.0003850825068590001;0.0114237143719;9.89711279087e-05;4.57818877366e-05;0.00984566577244;0.00248221521385;709.836128422;2.7;1.7;2.16964795835;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_48_1586960;[118.9622860451916, 41.647074843092945, 106.00720633290646, 42.870001316070777];110.865932465;507.649257746;122.099064289;[29.740571511297901, 10.411768710773236, 26.501801583226616, 7.7447016486457905];[29.740571511297901, 10.411768710773236, 26.501801583226616, 7.7447016486457905];48767193.8592;38620291.1937;48065401.8499;5412444.07706;0.000108195562825;0.004614625510020001;0.0004122590308530001;0.012229923021200002;0.000104159897292;5.25465749892e-05;0.0113004517814;0.0018780855624;704.133216346;2.7;1.7;2.3096464513900004;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_96_1586967;[49.036084433474713, 25.123815865355223, 48.099532851770697, 25.667128571559207];100.877231598;338.248972306;115.36941876;[12.259021108368678, 6.2809539663388056, 12.024883212942674, 5.1099103391570129];[12.259021108368678, 6.2809539663388056, 12.024883212942674, 5.1099103391570129];23309455.2262;35140714.3071;31437806.5773;5114130.32424;0.000226362818683;0.00965455153932;0.000453080255559;0.0134409102851;0.000148397543055;5.5611683813e-05;0.011959621565100002;0.00391670076999;449.18501687300005;2.7;1.7;2.13733040995;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_94_1586968;[67.048290602569935, 35.787568098274726, 72.005195197012782, 27.435734941875815];132.867084503;363.718729147;168.938819584;[16.762072650642484, 7.9526617225395091, 18.001298799253195, 6.2830410404163866];[16.762072650642484, 7.9526617225395091, 18.001298799253195, 6.2830410404163866];31873665.5397;46284421.0074;34241072.6873;7488770.84987;0.00016554085944100002;0.00706044733245;0.000343994015097;0.010204798463;0.000143156492933;3.79775806033e-05;0.00816730335842;0.00285163334195;679.777062709;2.7;1.7;2.2561352018200003;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_80_1588952;[77.263222108502944, 39.866065875075755, 101.08683727083927, 39.845474204113366];142.37158584600002;533.9866940630001;163.482433533;[19.311994394314951, 9.6539861872081811, 25.271709317709817, 7.6299892853510496];[19.311994394314951, 9.6539861872081811, 25.271709317709817, 7.6299892853510496];40663929.6429;49595326.3626;49877634.2955;7246898.52648;0.000129756126211;0.00553420042803;0.000321029520047;0.00952354229714;9.53825994337e-05;3.92451194854e-05;0.00843989509292;0.0022584877207600003;780.996412307;2.7;1.7;2.18327346417;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_68_1588547;[83.041993367089205, 32.843627867725289, 92.176460263301635, 35.166504696955364];98.0490913391;459.365076063;121.82986667799999;[20.760224423591179, 8.2103054377340321, 23.044115065825409, 4.6084708383082669];[20.760224423591179, 8.2103054377340321, 23.044115065825409, 4.6084708383082669];38326624.8715;34155527.9842;43121772.0455;5400511.00433;0.000137669153093;0.00587169722327;0.0004661489591419999;0.013828601583100002;0.000112455606797;5.26626829095e-05;0.0113254214765;0.0024676740561;646.907984035;2.7;1.7;2.22948863305;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_82_4753046;[74.4735322126255, 49.077116184953212, 89.747448053215336, 51.221168289419978];159.29017257700002;775.006554169;178.14356935799995;[18.618383053156375, 12.269279046238303, 22.436862013303834, 6.8047241259444942];[18.618383053156375, 12.269279046238303, 22.436862013303834, 6.8047241259444942];41681493.0743;55488937.9673;71281649.5887;7896801.768739998;0.00012658841125399995;0.00539909490367;0.000286932213916;0.00851202429993;6.27060001754e-05;3.60152637611e-05;0.0077452955137700015;0.0023237841457;1057.46863458;2.7;1.7;2.04131229383;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
